Map Name,Personal Best,Rank,Bonus,Date,Start Speed
surf_duggywuggy,00:18.1875,35,1,2017-11-22 00:29:09,494 u/s
surf_dusk,00:16.9805,30,1,2019-12-10 03:29:11,443 u/s
surf_dynamics_fixed,00:10.8164,22,1,2017-12-15 17:00:31,494 u/s
surf_easy2,00:06.0703,33,3,2020-10-26 14:24:02,499 u/s
surf_easy2,00:06.6211,39,4,2020-10-26 14:26:54,499 u/s
surf_echo,00:04.6172,13,1,2022-07-14 22:37:03,383 u/s
surf_echo,00:20.2148,19,2,2022-07-14 22:42:53,392 u/s
surf_echo,00:15.7852,3,3,2022-07-14 22:53:07,383 u/s
surf_edge,00:19.2539,4,2,2020-01-24 07:06:11,-1 u/s
surf_elysium,00:19.6055,19,1,2020-07-29 00:03:24,501 u/s
surf_elysium2,00:27.3867,2,1,2018-08-10 21:07:32,489 u/s
surf_ember2,00:14.3086,1,2,2020-12-14 11:49:50,-1 u/s
surf_endeavor,00:13.9688,8,1,2023-01-24 20:02:36,503 u/s
surf_endeavor,00:09.1172,2,2,2023-01-24 20:10:26,527 u/s
surf_enlightened,00:33.6797,60,2,2022-07-04 21:34:20,101 u/s
surf_enlightened,00:18.5742,283,3,2022-07-04 21:34:55,101 u/s
surf_enlightened,00:17.4961,41,6,2022-07-04 21:37:42,101 u/s
surf_enlightened,00:14.0156,5,7,2021-03-25 07:27:17,424 u/s
surf_enlightened,00:28.3125,3,8,2021-03-26 15:38:54,-1 u/s
surf_epicube_ksf,00:21.3398,19,1,2020-01-09 22:10:34,496 u/s
surf_epicube_ksf,00:21.8906,19,2,2017-12-13 19:15:09,-1 u/s
surf_epiphany,00:07.8164,2,1,2019-12-23 23:32:30,591 u/s
surf_epiphany,00:20.9531,36,2,2019-12-22 21:54:35,567 u/s
surf_epiphany,00:13.1016,32,3,2019-12-22 23:55:05,480 u/s
surf_epiphany,00:16.8750,37,4,2019-12-22 21:48:47,567 u/s
surf_epithet,00:14.7539,45,2,2018-04-27 18:27:02,499 u/s
surf_escape_final,00:09.4922,4,1,2019-03-13 23:59:55,493 u/s
surf_ethereal,00:12.0000,5,1,2017-11-05 10:33:29,321 u/s
surf_ethereal,00:15.3633,190,2,2018-12-31 23:19:00,260 u/s
surf_eventide,01:09.2695,135,1,2023-01-17 20:06:19,508 u/s
surf_execute,00:16.2656,6,2,2019-02-20 13:23:44,499 u/s
surf_execute,00:12.5156,18,3,2019-02-20 13:38:07,499 u/s
surf_extend,00:12.5508,9,2,2023-05-03 19:37:22,1983 u/s
surf_extend,00:14.4141,4,3,2023-05-03 19:13:35,1983 u/s
surf_extrodinaire_3,00:03.2227,949,1,2019-07-21 22:05:42,441 u/s
surf_exurbia2_csgo,00:09.7031,19,1,2018-09-09 14:45:28,494 u/s
surf_exurbia_v2,00:06.5859,225,1,2017-10-27 19:22:02,491 u/s
surf_ezclap,00:15.4219,57,1,2018-05-27 18:28:18,489 u/s
surf_fabas,00:24.1992,32,1,2020-03-09 08:25:31,502 u/s
surf_faint_fix,00:05.5781,9,1,2018-09-28 23:05:37,460 u/s
surf_faint_fix,00:07.6523,11,2,2018-09-28 23:10:05,468 u/s
surf_fast,00:51.3750,10,1,2018-05-08 18:17:59,321 u/s
surf_fast,00:22.1367,2,2,2019-02-27 19:54:57,4875 u/s
surf_fathom,00:05.3320,22,1,2022-04-02 19:39:54,517 u/s
surf_fiellu,00:45.4570,17,1,2021-06-21 11:54:55,496 u/s
surf_flatliners,00:16.8867,13,1,2017-12-02 16:27:33,402 u/s
surf_forbidden_ways_ksf,00:11.7305,15,1,2017-11-14 20:58:57,593 u/s
surf_forgotten_fix,00:10.0898,10,3,2019-11-10 19:06:01,-1 u/s
surf_forgotten_fix,00:09.9023,2,4,2019-11-07 18:31:02,-1 u/s
surf_fornax,00:07.6289,3,1,2019-09-13 21:50:21,410 u/s
surf_fornax,00:18.6094,26,2,2019-08-11 23:08:27,432 u/s
surf_fornax,00:20.7656,28,3,2019-08-11 14:50:59,446 u/s
surf_fornax,00:20.5781,43,4,2019-08-11 16:16:58,-1 u/s
surf_fornax,00:09.9727,35,5,2019-08-11 15:54:29,-1 u/s
surf_fornax,00:08.0039,23,6,2019-08-11 22:59:21,432 u/s
